B,I_c
-8.1,0.0859390476190833
-8.09948800000002,0.086
-8.08177431907122,0.09
-8.08177431907122,0.09
-8.08,0.0876571428578912
-8.08,0.0890499999972693
-8.08,0.0905846153853748
-8.06914285709683,0.09
-8.06,0.0867310344826222
-8.055780219804381,0.09
-8.04986407767579,0.092
-8.04958490564927,0.088
-8.040000000000001,0.0925054726366614
-8.035601731603991,0.092
-8.03240211639545,0.09
-8.02387301590342,0.088
-8.020000000000001,0.0875215686245219
-8.01876767675604,0.088
-8.01010970464671,0.09
-7.999999999999999,0.0913311111117938
-7.99817142864486,0.094
-7.986913043509099,0.092
-7.986417391309689,0.096
-7.98463636363313,0.098
-7.9799999999999995,0.0986325581392336
-7.976774703558829,0.098
-7.971978260865389,0.096
-7.971631578905179,0.094
-7.96,0.0934333333349612
-7.95532275133021,0.094
-7.94367407409004,0.096
-7.9431587301619,0.098
-7.94,0.0985645390078339
-7.928977777752629,0.096
-7.928977777752629,0.096
-7.919999999999999,0.0994020202022283
-7.919999999999999,0.0958228070175079
-7.919999999999999,0.0962540880504642
-7.91744303797629,0.096
-7.9084813277970705,0.098
-7.8999999999999995,0.0971483333343915
-7.882966666679109,0.098
-7.88,0.0982282051290453
-7.8721528662407705,0.102
-7.864813186815259,0.1
-7.86,0.10374246575339
-7.85238260869114,0.1
-7.84769032257963,0.102
-7.839999999999999,0.0991816091955306
-7.83343250688836,0.102
-7.831954802267199,0.1
-7.827799283151049,0.104
-7.82147450979559,0.106
-7.819999999999999,0.106164912279696
-7.817214814831549,0.106
-7.80866666666872,0.104
-7.8,0.102972839504888
-7.78933333333817,0.104
-7.78,0.105797530865464
-7.7640503144588395,0.102
-7.7640503144588395,0.102
-7.759999999999999,0.105056666666735
-7.759999999999999,0.101688888889469
-7.759999999999999,0.102405031445822
-7.753747572817619,0.102
-7.739999999999999,0.105357894737264
-7.724442211057609,0.104
-7.72,0.103203603603237
-7.71396992481364,0.106
-7.712928000000429,0.104
-7.712503311255909,0.108
-7.7,0.109094492753428
-7.68530739299939,0.108
-7.679999999999999,0.106863333332378
-7.67317999999413,0.108
-7.66931958764791,0.106
-7.659999999999999,0.105431446539994
-7.659999999999999,0.106510734464488
-7.659999999999999,0.108998484848019
-7.654774566463369,0.106
-7.64,0.10811818181812
-7.62,0.108996825396757
-7.599999999999999,0.108320000003058
-7.579999999999999,0.108341333332302
-7.56,0.108877987421963
-7.541805309743999,0.106
-7.541805309743999,0.106
-7.54,0.10915294117802
-7.54,0.105811111110125
-7.54,0.106295652175193
-7.53762790696414,0.106
-7.5273826366625896,0.114
-7.5273826366625896,0.114
-7.52,0.109478518518281
-7.52,0.113099607842824
-7.52,0.115663768116241
-7.507314917129279,0.114
-7.50428346458928,0.108
-7.5,0.107657861633556
-7.495185840685769,0.108
-7.48935294119789,0.112
-7.4799999999999995,0.109972413794402
-7.4799999999999995,0.110072727269116
-7.4799999999999995,0.112460869566529
-7.479547169831419,0.11
-7.475870129857889,0.112
-7.46,0.110595402297859
-7.45524770642802,0.11
-7.4521297297339295,0.108
-7.4422805429929495,0.106
-7.4399999999999995,0.105505882352251
-7.4353761467774895,0.106
-7.43080327868634,0.108
-7.4248909090983295,0.11
-7.423905044514379,0.112
-7.42,0.11315438596489
-7.41402222221503,0.11
-7.4121666666591395,0.112
-7.40812612612523,0.108
-7.3999999999999995,0.10606021505619
-7.398697674369109,0.106
-7.38110526316196,0.104
-7.38,0.103949999999854
-7.37963157894641,0.104
