B,I_c
-8.62,0.0647273758863241
-8.60779319728357,0.066
-8.6,0.0675911111081832
-8.58130285706506,0.07
-8.58,0.0673089361693519
-8.58,0.0699105882408084
-8.58,0.0700241269826335
-8.57327999998927,0.068
-8.56023347639544,0.06
-8.56023347639544,0.06
-8.56,0.0700747619053958
-8.56,0.0599725252524255
-8.56,0.0600697435900635
-8.55972935323311,0.06
-8.55534814809671,0.07
-8.54,0.0682733333258923
-8.53676250001775,0.07
-8.5213935483828,0.072
-8.52,0.0723388235286956
-8.51688648649693,0.072
-8.51041333333637,0.068
-8.50166153847024,0.07
-8.5,0.0669038596495857
-8.49284580152539,0.068
-8.48,0.0698094623650566
-8.46,0.0690909941517681
-8.45057939393966,0.07
-8.44850621468946,0.072
-8.44,0.0732546666666667
-8.43087346938776,0.074
-8.42921818187622,0.076
-8.42115804195094,0.078
-8.42,0.0782905263145732
-8.41856000001064,0.078
-8.41522823525742,0.076
-8.4,0.0750193939403869
-8.38459047619556,0.076
-8.38418962963601,0.078
-8.38309444443828,0.082
-8.38,0.0787251282057713
-8.38,0.0813811111125902
-8.38,0.0823160283684522
-8.37257333336021,0.082
-8.36674133333869,0.08
-8.36,0.0808025396820121
-8.34,0.0808660317450559
-8.32181333333432,0.08
-8.32,0.0798488888891165
-8.31949158878581,0.08
-8.31341355932244,0.082
-8.30876831684316,0.086
-8.30876831684316,0.086
-8.3,0.0835074285711794
-8.3,0.0850774999999147
-8.3,0.086590399999571
-8.29249491524599,0.086
-8.28432871287383,0.082
-8.28,0.0802854901940129
-8.26998095237598,0.084
-8.26612063489537,0.082
-8.26508617887768,0.088
-8.26508617887768,0.088
-8.26,0.0852598907095521
-8.26,0.0873680808066094
-8.26,0.0885213333355179
-8.24841481480318,0.088
-8.24,0.0856856666668373
-8.23677730495789,0.088
-8.23301481481225,0.086
-8.22491851855573,0.09
-8.22325833332913,0.092
-8.22,0.0922106397304858
-8.21582933333825,0.092
-8.2,0.0900213333354742
-8.1996675324343,0.09
-8.19518967742856,0.088
-8.18,0.0869535999997253
-8.16822799999571,0.088
-8.16,0.0890158024684398
-8.15062117647424,0.09
-8.14745154638322,0.092
-8.14,0.0927772043009281
-8.13134371257881,0.092
-8.12812105262318,0.09
-8.12042714931014,0.086
-8.12042714931014,0.086
-8.12,0.0886284444440282
-8.12,0.0859427878802631
-8.12,0.0862860605999629
-8.10770434781927,0.088
-8.10700631579431,0.09
-8.10586268658031,0.092
-8.1,0.0924676190483979
-8.1,0.0856020740743481
-8.1,0.0886949019592121
-8.0981445026242,0.088
-8.09399776536986,0.086
-8.08,0.0922654545443367
-8.07538857142916,0.09
-8.07152258066932,0.092
-8.06240812182708,0.088
-8.06,0.087648592592372
-8.05730454545421,0.088
-8.05050925109874,0.09
-8.0437636363648,0.092
-8.04,0.0922300000001138
-8.03906966292085,0.092
-8.02,0.0901451366115334
-8.01282721088499,0.094
-8.01195151516832,0.09
-8.0077234567826,0.096
-8,0.089662905983153
-8,0.0920953535365712
-8,0.0964634074067688
-7.99896263735008,0.092
-7.99810384615484,0.09
-7.99716923077437,0.096
-7.98,0.0947093877552792
-7.96866521739181,0.094
-7.96020983606559,0.098
-7.96020983606559,0.098
-7.96,0.0932184313728882
-7.96,0.0979866666666667
-7.96,0.0980218803418689
-7.95940465116421,0.098
-7.94,0.0939676190485943
-7.93178901099691,0.096
-7.93178901099691,0.096
-7.92410769231108,0.092
-7.92,0.0915003508769651
-7.92,0.0945404081618751
-7.92,0.0973003636365745
-7.91466845638534,0.094
-7.91053284132594,0.09
-7.90814585635101,0.096
-7.9,0.0887956118141397
-7.9,0.092131965813997
-7.9,0.0951943169396202
-7.88983441860185,0.094
-7.88368914285547,0.09
-7.88,0.0907173333322629
-7.86940917428982,0.092
-7.86905762711775,0.09
-7.86905762711775,0.09
-7.86335118110657,0.094
-7.86,0.094886666667008
-7.86,0.089771623931574
-7.86,0.0906851282059975
-7.85324444443701,0.094
-7.84886666666628,0.09
-7.8422837606855,0.088
-7.84,0.0920133333300565
-7.84,0.08781049645376
-7.84,0.0891133333336747
-7.83981935488294,0.092
-7.83674146341478,0.088
-7.82,0.0911095652196089
-7.8,0.09184500000256
-7.79562352942605,0.092
-7.78,0.0924659649080387
-7.77778666668944,0.092
-7.76613827161293,0.09
-7.76,0.088995555555357
-7.74816190472829,0.09
-7.74736410257362,0.088
-7.74045866670992,0.086
-7.74023703704022,0.092
-7.74,0.0920316049386522
-7.74,0.088911746036016
-7.74,0.0859761111088194
-7.73980307692058,0.092
-7.73614831462065,0.09
-7.72,0.0852863681591609
-7.7081394495481,0.084
-7.70023087249681,0.076
-7.70023087249681,0.076
-7.7,0.082483418803515
-7.7,0.0759765986380919
-7.7,0.0760238888903111
-7.69976756755399,0.076
-7.68496271186269,0.084
-7.68131162789332,0.086
-7.68,0.0863580952345435
-7.67652923079939,0.086
-7.67138823529931,0.084
-7.66,0.0834938562088182
-7.65085759999686,0.082
-7.64856314199714,0.08
-7.64392788732718,0.072
-7.642906896556,0.076
-7.64013584905666,0.078
-7.64,0.0750226086947416
-7.64,0.0733280000003932
-7.64,0.0712622222218119
-7.63483555554975,0.072
-7.6305919999851,0.074
-7.62394285708855,0.076
-7.62394285708855,0.076
-7.62,0.0736690000006509
-7.62,0.0756550000035243
-7.62,0.0773800000070997
-7.61752000007919,0.078
-7.61752000007919,0.078
-7.61386666671885,0.076
-7.61117333333563,0.074
-7.6,0.0754573913045605
-7.6,0.0768319999963154
-7.6,0.0793476923074144
-7.59788915661881,0.078
-7.59313488372004,0.072
-7.59271304348542,0.074
-7.58,0.0709138461541612
-7.57632500000026,0.068
-7.56716363637692,0.072
-7.56476279069904,0.066
-7.56,0.0726852173924751
-7.56,0.0695142028983897
-7.56,0.0654748717951475
-7.55447017543019,0.072
-7.54603333331627,0.07
-7.54,0.0658346666641617
-7.53724444439266,0.066
-7.52,0.0663695238079337
-7.51817411765667,0.066
-7.51035428571128,0.064
-7.5,0.0622321951221338
-7.48058571426476,0.064
-7.48,0.0640624761882453
-7.47903529415379,0.064
-7.46549647059221,0.062
-7.46489079754794,0.06
-7.46,0.0586713333323093
-7.44,0.0584146236570494
-7.435463529404,0.058
-7.42,0.0573914814807609
-7.40651519999058,0.054
-7.40173483148777,0.052
-7.40022631578906,0.056
-7.4,0.0517426666627072
-7.39464210527467,0.054
-7.39464210527467,0.054
-7.38,0.0511819607850148
-7.38,0.0525453594757808
-7.38,0.0550909803922882
-7.37286837607185,0.052
-7.36190569106005,0.054
-7.36169855072847,0.048
-7.36,0.053730574711606
-7.36,0.0499533333394773
-7.36,0.0478929680362831
-7.34,0.0525347008530197
-7.34,0.0487431111137374
-7.34,0.0476721568615338
-7.33644545455427,0.052
-7.33512413793353,0.05
-7.32,0.0472200000027307
-7.30628246445194,0.052
-7.30628246445194,0.052
-7.30535857987469,0.054
-7.3,0.0477592792806221
-7.3,0.0512635555557831
-7.3,0.0546422695032237
-7.29707870968193,0.054
-7.28876610169059,0.052
-7.28605142857054,0.046
-7.28009536423843,0.044
-7.28,0.0439890909090909
-7.27990068965522,0.044
-7.27119175255756,0.048
-7.2701488372093,0.046
-7.26,0.0489278632463257
-7.25545774059209,0.048
-7.25140098522428,0.046
-7.24360454545901,0.044
-7.24,0.0432951111107082
-7.23669583333032,0.044
-7.23170465949782,0.046
-7.22331522634673,0.05
-7.22013763440326,0.048
-7.22,0.0504629885069738
-7.2196800000116,0.048
-7.21625302324346,0.05
-7.2,0.04636000000256
-7.19196279066272,0.046
